id,country,style,artist,track_title,link,source,license,notes
54,Japan,Min'yō,Various,Kuroda Bushi,,YouTube,Fair use,
55,Japan,Min'yō,Various,Aizu Bandaisan,,YouTube,Fair use,
56,Japan,Enka,Hibari Misora,Kawa no Nagare no Yō ni,,YouTube,Fair use,
57,Japan,Enka,Jero,Umiyuki,,YouTube,Fair use,
58,Japan,Enka,Sayuri Ishikawa,Amagi Goe,,YouTube,Fair use,
59,Japan,Enka,Kiyoshi Hikawa,Hatsukoi Ressha,,YouTube,Fair use,
60,Japan,Enka,Fuyumi Sakamoto,Yozakura Oshichi,,YouTube,Fair use,
61,USA,Blues,B.B. King,The Thrill Is Gone,https://www.youtube.com/watch?v=xVxCtt3s_1M,YouTube,Fair use,
62,USA,Blues,Muddy Waters,Mannish Boy,,YouTube,Fair use,
63,USA,Blues,Robert Johnson,Cross Road Blues,,YouTube,Fair use,
64,USA,Blues,Etta James,I'd Rather Go Blind,,YouTube,Fair use,
65,USA,Blues,John Lee Hooker,Boom Boom,,YouTube,Fair use,
66,USA,Jazz,Miles Davis,So What,https://www.youtube.com/watch?v=ylXk1LBvIqU,YouTube,Fair use,
67,USA,Jazz,John Coltrane,My Favorite Things,,YouTube,Fair use,
68,USA,Jazz,Bill Evans,Waltz for Debby,,YouTube,Fair use,
69,USA,Jazz,Duke Ellington,Take the A Train,,YouTube,Fair use,
70,USA,Jazz,Thelonious Monk,Round Midnight,,YouTube,Fair use,
71,USA,Soul,Aretha Franklin,Respect,https://www.youtube.com/watch?v=A134hShx_gw,YouTube,Fair use,
72,USA,Soul,Otis Redding,Try a Little Tenderness,,YouTube,Fair use,
73,USA,Soul,Marvin Gaye,What's Going On,,YouTube,Fair use,
74,USA,Soul,Sam Cooke,A Change Is Gonna Come,,YouTube,Fair use,
75,USA,Soul,Etta James,At Last,,YouTube,Fair use,
76,USA,Folk,Bob Dylan,Blowin' in the Wind,,YouTube,Fair use,
77,USA,Folk,Simon & Garfunkel,The Sound of Silence,,YouTube,Fair use,
78,USA,Folk,Joan Baez,Diamonds & Rust,,YouTube,Fair use,
79,USA,Folk,Woody Guthrie,This Land Is Your Land,,YouTube,Fair use,
80,USA,Folk,Joni Mitchell,Both Sides Now,,YouTube,Fair use,
81,West Africa,Afrobeat,Fela Kuti,Water No Get Enemy,https://www.youtube.com/watch?v=kisTH3SFegc,YouTube,Fair use,
82,West Africa,Afrobeat,Tony Allen,Secret Agent,,YouTube,Fair use,
83,West Africa,Afrobeat,Antibalas,Dirty Money,,YouTube,Fair use,
84,West Africa,Afrobeat,Seun Kuti,African Dreams,,YouTube,Fair use,
85,West Africa,Afrobeat,Ebo Taylor,Love and Death,,YouTube,Fair use,
86,West Africa,Highlife,E.T. Mensah,All For You,https://www.youtube.com/watch?v=OVB8isxRngs,YouTube,Fair use,
87,West Africa,Highlife,Osibisa,Welcome Home,,YouTube,Fair use,
88,West Africa,Highlife,Rex Lawson,Sawale,,YouTube,Fair use,
89,West Africa,Highlife,Chief Stephen Osita Osadebe,Osondi Owendi,,YouTube,Fair use,
90,West Africa,Highlife,Prince Nico Mbarga,Sweet Mother,,YouTube,Fair use,
91,West Africa,Juju,King Sunny Adé,Synchro Feelings,,YouTube,Fair use,
92,West Africa,Juju,Chief Commander Ebenezer Obey,Board Members,,YouTube,Fair use,
93,West Africa,Juju,I.K. Dairo,Salome,,YouTube,Fair use,
94,West Africa,Juju,Sir Shina Peters,Ace,,YouTube,Fair use,
95,West Africa,Juju,Dele Abiodun,It’s Time for Juju Music,,YouTube,Fair use,
96,West Africa,Mbalax,Youssou N'Dour,Set,,YouTube,Fair use,
97,West Africa,Mbalax,Ismaël Lô,Tajabone,,YouTube,Fair use,
98,West Africa,Mbalax,Thione Seck,Diaga,,YouTube,Fair use,
99,West Africa,Mbalax,Viviane Chidid,Kumu Neexul,,YouTube,Fair use,
100,West Africa,Mbalax,Pape Diouf,Boul Ma Sweet,,YouTube,Fair use,
101,Middle East,Maqam,Oum Kalthoum,Enta Omri,https://www.youtube.com/watch?v=6YjW05dqec8,YouTube,Fair use,
102,Middle East,Maqam,Fairuz,Kan Endena Tahoun,,YouTube,Fair use,
103,Middle East,Maqam,Mohammed Abdel Wahab,Ya Msafer Wahdak,,YouTube,Fair use,
104,Middle East,Maqam,Sabah Fakhri,Qadduka Al Mayyas,,YouTube,Fair use,
105,Middle East,Maqam,Warda,Batwanes Beek,,YouTube,Fair use,
106,Middle East,Dabke,Omar Souleyman,Warni Warni,https://www.youtube.com/watch?v=lVlgMEFu1PI,YouTube,Fair use,
107,Middle East,Dabke,Ali El Deek,Ya Rayt,,YouTube,Fair use,
108,Middle East,Dabke,Ziad Bourji,Shou Helou,,YouTube,Fair use,
109,Middle East,Dabke,Assi El Hallani,Bel Aks,,YouTube,Fair use,
110,Middle East,Dabke,Shadia Mansour,El Kofeyye Arabeyye,,YouTube,Fair use,
111,Middle East,Arabic Pop,Amr Diab,Tamally Maak,,YouTube,Fair use,
112,Middle East,Arabic Pop,Nancy Ajram,Ah W Noss,,YouTube,Fair use,
113,Middle East,Arabic Pop,Elissa,Ayshalak,,YouTube,Fair use,
114,Middle East,Arabic Pop,Haifa Wehbe,Boos El Wawa,,YouTube,Fair use,
115,Middle East,Arabic Pop,Ragheb Alama,Nassini El Donya,,YouTube,Fair use,
116,Middle East,Traditional,Munir Bashir,Raga,,YouTube,Fair use,
117,Middle East,Traditional,Simon Shaheen,Longa Nahawand,,YouTube,Fair use,
118,Middle East,Traditional,Le Trio Joubran,Majâz,,YouTube,Fair use,
119,Middle East,Traditional,Hossam Ramzy,Sabla Tolo,,YouTube,Fair use,
120,Middle East,Traditional,Abeer Nehme,Bint El Shalabeya,,YouTube,Fair use,
